unit_id,parent_id,teryt_id,name,level,kind
031613107034,031613107033,1607034,Korfantów,6,4
031613107054,031613107053,1607054,Nysa,6,4
031613107064,031613107063,1607064,Otmuchów,6,4
031613107074,031613107073,1607074,Paczków,6,4
031613110014,031613110013,1610014,Biała,6,4
031613110024,031613110023,1610024,Głogówek,6,4
031613110044,031613110043,1610044,Prudnik,6,4
031613203011,031613203000,1603011,Kędzierzyn-Koźle,6,1
031613204014,031613204013,1604014,Byczyna,6,4
031613204024,031613204023,1604024,Kluczbork,6,4
031613204044,031613204043,1604044,Wołczyn,6,4
031613205014,031613205013,1605014,Gogolin,6,4
031613205024,031613205023,1605024,Krapkowice,6,4
031613205054,031613205053,1605054,Zdzieszowice,6,4
031613208014,031613208013,1608014,Dobrodzień,6,4
031613208024,031613208023,1608024,Gorzów Śląski,6,4
031613208034,031613208033,1608034,Olesno,6,4
031613208044,031613208043,1608044,Praszka,6,4
031613209074,031613209073,1609074,Niemodlin,6,4
031613209084,031613209083,1609084,Ozimek,6,4
031613209104,031613209103,1609104,Prószków,6,4
031613209124,031613209123,1609124,Tułowice,6,4
031613211034,031613211033,1611034,Kolonowskie,6,4
031613211044,031613211043,1611044,Leśnica,6,4
031613211054,031613211053,1611054,Strzelce Opolskie,6,4
031613211064,031613211063,1611064,Ujazd,6,4
031613211074,031613211073,1611074,Zawadzkie,6,4
031613261011,031613261000,1661011,Opole,6,1
040410603044,040410603043,0403044,Koronowo,6,4
040410603084,040410603083,0403084,Solec Kujawski,6,4
040410615011,040410615000,0415011,Chełmża,6,1
040410661011,040410661000,0461011,Bydgoszcz,6,1
040410663011,040410663000,0463011,Toruń,6,1
040410702011,040410702000,0402011,Brodnica,6,1
040410702054,040410702053,0402054,Górzno,6,4
040410702074,040410702073,0402074,Jabłonowo Pomorskie,6,4
040410704011,040410704000,0404011,Chełmno,6,1
040410705011,040410705000,0405011,Golub-Dobrzyń,6,1
040410705044,040410705043,0405044,Kowalewo Pomorskie,6,4
040410706034,040410706033,0406034,Łasin,6,4
040410706044,040410706043,0406044,Radzyń Chełmiński,6,4
040410712011,040410712000,0412011,Rypin,6,1
040410717011,040410717000,0417011,Wąbrzeźno,6,1
040410762011,040410762000,0462011,Grudziądz,6,1
040410801011,040410801000,0401011,Aleksandrów Kujawski,6,1
040410801021,040410801000,0401021,Ciechocinek,6,1
040410801031,040410801000,0401031,Nieszawa,6,1
040410808011,040410808000,0408011,Lipno,6,1
040410808044,040410808043,0408044,Dobrzyń nad Wisłą,6,4
040410808074,040410808073,0408074,Skępe,6,4
040410811011,040410811000,0411011,Radziejów,6,1
040410811054,040410811053,0411054,Piotrków Kujawski,6,4
040410818011,040410818000,0418011,Kowal,6,1
040410818044,040410818043,0418044,Brześć Kujawski,6,4
040410818064,040410818063,0418064,Chodecz,6,4
040410818084,040410818083,0418084,Izbica Kujawska,6,4
040410818114,040410818113,0418114,Lubień Kujawski,6,4
040410818124,040410818123,0418124,Lubraniec,6,4
040410864011,040410864000,0464011,Włocławek,6,1
040416707011,040416707000,0407011,Inowrocław,6,1
040416707034,040416707033,0407034,Gniewkowo,6,4
040416707054,040416707053,0407054,Janikowo,6,4
040416707064,040416707063,0407064,Kruszwica,6,4
